customer_id,churn_probability,actual_churn,intervention_strategy,seniorcitizen,tenure,monthlycharges,totalcharges,gender_Male,partner_Yes,dependents_Yes,phoneservice_Yes,multiplelines_No phone service,multiplelines_Yes,internetservice_Fiber optic,internetservice_No,onlinesecurity_No internet service,onlinesecurity_Yes,onlinebackup_No internet service,onlinebackup_Yes,deviceprotection_No internet service,deviceprotection_Yes,techsupport_No internet service,techsupport_Yes,streamingtv_No internet service,streamingtv_Yes,streamingmovies_No internet service,streamingmovies_Yes,contract_One year,contract_Two year,paperlessbilling_Yes,paymentmethod_Credit card (automatic),paymentmethod_Electronic check,paymentmethod_Mailed check
0365-GXEZS,0.6649351753034336,0,Tier 2 - Medium Risk (Pop-up Promo),0,18,78.2,1468.75,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False
2227-JRSJX,0.6995095631433165,0,Tier 2 - Medium Risk (Pop-up Promo),0,21,99.15,1956.4,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False
4690-LLKUA,0.65216157143164,1,Tier 2 - Medium Risk (Pop-up Promo),1,17,45.05,770.6,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
5804-HYIEZ,0.5177012601460294,0,Tier 2 - Medium Risk (Pop-up Promo),0,70,106.05,7554.05,True,True,True,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False
0668-OGMHD,0.515304091482023,0,Tier 2 - Medium Risk (Pop-up Promo),0,21,28.5,629.35,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
5351-QESIO,0.6710629527822702,0,Tier 2 - Medium Risk (Pop-up Promo),0,1,24.2,24.2,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4208-UFFGW,0.624191580418119,1,Tier 2 - Medium Risk (Pop-up Promo),1,2,44.95,85.15,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4067-HLYQI,0.5983128579707309,0,Tier 2 - Medium Risk (Pop-up Promo),0,33,70.4,2406.1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4226-KKDON,0.6187819737651219,0,Tier 2 - Medium Risk (Pop-up Promo),0,8,66.65,520.95,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False
6825-UYPFK,0.6507449710345414,1,Tier 2 - Medium Risk (Pop-up Promo),0,23,75.6,1758.6,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2108-YKQTY,0.5000247188965922,1,Tier 2 - Medium Risk (Pop-up Promo),0,4,50.7,151.3,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
3658-KIBGF,0.6126512421715812,1,Tier 2 - Medium Risk (Pop-up Promo),0,1,54.9,54.9,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
