customer_id,churn_probability,actual_churn,intervention_strategy,seniorcitizen,tenure,monthlycharges,totalcharges,gender_Male,partner_Yes,dependents_Yes,phoneservice_Yes,multiplelines_No phone service,multiplelines_Yes,internetservice_Fiber optic,internetservice_No,onlinesecurity_No internet service,onlinesecurity_Yes,onlinebackup_No internet service,onlinebackup_Yes,deviceprotection_No internet service,deviceprotection_Yes,techsupport_No internet service,techsupport_Yes,streamingtv_No internet service,streamingtv_Yes,streamingmovies_No internet service,streamingmovies_Yes,contract_One year,contract_Two year,paperlessbilling_Yes,paymentmethod_Credit card (automatic),paymentmethod_Electronic check,paymentmethod_Mailed check
9701-CDXHR,0.40031251279462887,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,51,69.15,3649.6,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7130-CTCUS,0.43363787341750804,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),1,16,54.55,825.1,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
9544-PYPSJ,0.4985001536263951,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),1,62,96.1,6019.35,False,True,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,False
4701-MLJPN,0.4026740572832355,1,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,31,55.25,1715.65,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False
6184-DYUOB,0.4521178516886919,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,3,19.6,55.25,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True
4256-ZWTZI,0.48438031563612755,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,5,51.0,286.8,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
9537-VHDTA,0.4171081756602474,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,1,51.2,51.2,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
5482-NUPNA,0.4111668823030433,1,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,4,60.4,272.15,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True
9033-EOXWV,0.4145724285868097,1,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,12,74.05,872.65,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,True
9138-EFSMO,0.4242694439663436,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,26,78.95,2034.25,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
3594-IVHJZ,0.4515675339604214,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,2,20.45,42.45,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True
9254-RBFON,0.4590174400524919,1,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,17,98.6,1704.95,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,False,False,False
0365-TRTPY,0.41443108985680027,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,37,91.2,3382.3,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0895-LMRSF,0.4215975418426796,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,23,64.9,1509.8,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False
8495-PRWFH,0.4023340792368721,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),1,42,55.65,2421.75,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
0742-MOABM,0.48415549444095624,1,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,4,50.05,179.35,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2478-EEWWM,0.48302025296912277,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,59,44.3,2666.75,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False
3694-GLTJM,0.4135120348490716,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,5,19.65,92.05,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False
9629-NHXFW,0.41905383280362185,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,1,19.4,19.4,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True
1809-DMJHQ,0.4864631355379449,1,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,5,46.0,221.7,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2091-MJTFX,0.4113527250229833,1,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,30,51.2,1561.5,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False
4003-FUSHP,0.4642356474546999,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,19,61.55,1093.2,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False
9788-YTFGE,0.41144388401761306,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,7,19.95,147.5,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True
6770-XUAGN,0.4917483165660676,1,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,1,21.0,21.0,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False
5951-AOFIH,0.40011665529007184,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,33,66.4,2245.4,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False
7750-EYXWZ,0.49965745504400344,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,12,60.65,743.3,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,True,False
7054-ENNGU,0.474204576041287,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,9,50.85,466.6,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2522-AHJXR,0.49242242760512617,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,60,109.45,6572.85,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False
6898-MDLZW,0.4649461150563773,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,12,53.75,648.65,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True
7733-UDMTP,0.4961992190109206,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),1,57,55.0,3094.05,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False
8620-RJPZN,0.46330472603112277,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,1,20.7,20.7,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False
7426-WEIJX,0.4555877523624328,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),1,60,80.95,4859.1,True,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
7629-WIXZF,0.4863974970146853,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,7,59.1,369.25,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False
1493-AMTIE,0.4594708082093888,1,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,1,20.2,20.2,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False
4672-FOTSD,0.48411962937025826,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,12,67.25,832.3,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False
3858-XHYJO,0.40589530391274714,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,40,105.75,4228.55,False,True,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False
1087-UDSIH,0.44807661315471653,1,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,3,19.6,59.75,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True
4693-VWVBO,0.45190427267363503,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,3,19.55,61.05,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False
1074-AMIOH,0.4493988941653547,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,53,108.25,5935.1,False,True,True,True,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
1470-PSXNM,0.47236083875479695,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,49,93.65,4520.15,True,True,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,True,False
7251-XFOIL,0.4831471783236447,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,61,89.2,5500.6,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
4524-QCSSM,0.48182227996065835,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,26,44.65,1156.55,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
3679-XASPY,0.4219157750017793,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,1,19.45,19.45,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False
2778-OCLGR,0.49998007902198877,1,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),1,24,39.1,971.3,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3982-XWFZQ,0.45505308784176096,1,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,42,50.25,2203.65,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
7266-GSSJX,0.40040854820024624,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,11,20.45,250.8,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False
8450-JOVAH,0.47465092060855996,1,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,2,56.7,113.55,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4667-OHGKG,0.47992800987508444,1,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,1,19.3,19.3,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True
3780-DDGSE,0.47454338279111885,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),1,35,76.05,2747.2,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False
1360-JYXKQ,0.4997656610036934,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),1,54,99.1,5437.1,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False
6258-NGCNG,0.40061343189232845,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,7,23.5,173.0,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True
6890-PFRQX,0.45795411287615256,0,Tier 3 - Low Risk / FP Zone (Email Edukasi Pasif),0,18,69.5,1199.4,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
